Name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,HR/162
Marcus Semien\semiema01,162,747,657,123,187,43,7,33,92,10,8,87,102,0.285,0.369,0.522,0.892,138,343,11,2,0,1,2,33
Whit Merrifield\merriwh01,162,735,681,105,206,41,10,16,74,20,10,45,126,0.302,0.348,0.463,0.811,112,315,8,5,0,4,5,16
Ronald Acuna Jr.\acunaro01,156,715,626,127,175,22,2,41,101,37,9,76,188,0.28,0.365,0.518,0.883,122,324,8,9,0,1,4,39.48148148
Jonathan Villar#\villajo01,162,714,642,111,176,33,5,24,73,40,9,61,176,0.274,0.339,0.453,0.792,109,291,8,4,2,4,0,24
Mookie Betts\bettsmo01,150,706,597,135,176,40,5,29,80,16,3,97,101,0.295,0.391,0.524,0.915,135,313,11,3,0,9,6,26.85185185
Rhys Hoskins\hoskirh01,160,705,570,86,129,33,5,29,85,2,2,116,173,0.226,0.364,0.454,0.819,110,259,10,11,0,6,6,28.64197531
Jorge Polanco#\polanjo01,153,704,631,107,186,40,7,22,79,4,3,60,116,0.295,0.356,0.485,0.841,120,306,11,4,2,7,2,20.77777778
Rafael Devers*\deverra01,156,702,647,129,201,54,4,32,115,8,8,48,119,0.311,0.361,0.555,0.916,133,359,8,4,1,2,7,30.81481481
Ozzie Albies#\albieoz01,160,702,640,102,189,43,8,24,86,15,4,54,112,0.295,0.352,0.5,0.852,114,320,2,4,0,4,6,23.7037037
Eduardo Escobar#\escobed01,158,699,636,94,171,29,10,35,118,5,1,50,130,0.269,0.32,0.511,0.831,111,325,8,3,0,10,3,34.13580247
Xander Bogaerts\bogaexa01,155,698,614,110,190,52,0,33,117,4,2,76,122,0.309,0.384,0.555,0.939,140,341,11,2,0,6,2,31.57407407
Pete Alonso\alonspe01,161,693,597,103,155,30,2,53,120,1,0,72,183,0.26,0.358,0.583,0.941,148,348,13,21,0,3,6,52.67283951
